Kill,Team Fight,Push,Gank,Farm,Group Fight,Roshan,Roam,Split Push,No Label,TimeStamp,Kill,Team Fight,Push,Gank,Farm,Group Fight,Roshan,Roam,Split Push,No Label,TimeStamp
0,0,0,0,1,0,0,0,0,0,"[962, 1052]",0,0,0,0,0,0,0,1,0,0,"[980, 1011]"
0,0,0,0,1,0,0,0,0,0,"[1091, 1192]",0,0,0,0,0,0,0,1,0,0,"[1139, 1178]"
1,0,0,0,0,0,0,0,0,0,"[1385, 1392]",0,0,0,0,0,1,0,0,0,0,"[1385, 1401]"
0,0,0,1,0,0,0,0,0,0,"[1756, 1768]",0,0,0,0,0,0,0,1,0,0,"[1713, 1802]"
0,0,0,0,1,0,0,0,0,0,"[1638, 1755]",0,0,0,0,0,0,0,1,0,0,"[1713, 1802]"
0,0,0,0,1,0,0,0,0,0,"[1776, 1817]",0,0,0,0,0,0,0,1,0,0,"[1713, 1802]"
0,0,0,0,0,1,0,0,0,0,"[1892, 1906]",0,1,0,0,0,0,0,0,0,0,"[1854, 1908]"
0,0,0,0,0,1,0,0,0,0,"[1921, 1936]",0,1,0,0,0,0,0,0,0,0,"[1915, 1937]"
0,1,0,0,0,0,0,0,0,0,"[2593, 2635]",1,0,0,0,0,0,0,0,0,0,"[2603, 2632]"
0,0,1,0,0,0,0,0,0,0,"[2872, 2889]",0,0,0,0,0,0,0,1,0,0,"[2831, 3015]"
0,0,0,0,0,0,0,1,0,0,"[3352, 3501]",0,0,1,0,0,0,0,0,0,0,"[3335, 3374]"
0,0,0,0,0,0,0,1,0,0,"[3529, 3658]",0,0,1,0,0,0,0,0,0,0,"[3528, 3612]"
0,1,0,0,0,0,0,0,0,0,"[3920, 3950]",0,0,0,0,0,1,0,0,0,0,"[3917, 3948]"
1,0,0,0,0,0,0,0,0,0,"[3979, 3988]",0,0,1,0,0,0,0,0,0,0,"[3956, 3990]"
0,0,0,0,0,0,0,1,0,0,"[3730, 3765]",0,0,0,1,0,0,0,0,0,0,"[3737, 3750]"
0,0,0,0,1,0,0,0,0,0,"[3765, 3781]",0,0,1,0,0,0,0,0,0,0,"[3765, 3781]"
0,0,0,0,1,0,0,0,0,0,"[3988, 4080]",0,0,0,0,0,0,0,1,0,0,"[3990, 4033]"
0,0,0,0,0,0,0,1,0,0,"[4080, 4132]",0,0,0,1,0,0,0,0,0,0,"[4118, 4130]"
0,1,0,0,0,0,0,0,0,0,"[4528, 4576]",0,0,1,0,0,0,0,0,0,0,"[4506, 4557]"
0,0,0,0,0,1,0,0,0,0,"[2783, 2791]",0,0,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,1,0,0,"[2792, 2815]",0,0,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,1,0,0,"[3299, 3323]",0,0,0,0,0,0,0,0,0,1,-1
0,1,0,0,0,0,0,0,0,0,"[4913, 4994]",0,0,0,0,0,0,0,0,0,1,-1
0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,"[647, 683]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,"[916, 964]"
0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,"[1506, 1510]"
0,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,0,0,0,"[1749, 1767]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,"[1389, 1397]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,"[1515, 1538]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[1692, 1713]"
0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,"[2494, 2501]"
0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,"[2826, 2830]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[3107, 3120]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,"[3240, 3252]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[4065, 4081]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[4396, 4406]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,"[4298, 4341]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[4368, 4390]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[4585, 4652]"
0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,"[4671, 4909]"
0,0,0,0,1,0,0,0,0,0,"[916, 1008]",0,0,0,0,1,0,0,0,0,0,"[930, 958]"
0,0,0,0,0,0,0,1,0,0,"[1008, 1177]",0,0,0,0,0,0,0,1,0,0,"[1007, 1078]"
0,0,0,0,1,0,0,0,0,0,"[1207, 1286]",0,0,0,0,1,0,0,0,0,0,"[1210, 1284]"
0,0,0,0,0,0,0,1,0,0,"[1286, 1384]",0,0,0,0,0,0,0,1,0,0,"[1284, 1384]"
0,1,0,0,0,0,0,0,0,0,"[1494, 1517]",0,1,0,0,0,0,0,0,0,0,"[1489, 1515]"
0,0,0,0,0,1,0,0,0,0,"[1824, 1838]",0,0,0,0,0,1,0,0,0,0,"[1830, 1838]"
0,0,0,0,0,0,0,1,0,0,"[1392, 1494]",0,0,0,0,0,0,0,1,0,0,"[1402, 1493]"
0,0,0,0,1,0,0,0,0,0,"[1565, 1756]",0,0,0,0,1,0,0,0,0,0,"[1564, 1586]"
0,0,0,0,1,0,0,0,0,0,"[1565, 1756]",0,0,0,0,1,0,0,0,0,0,"[1723, 1735]"
0,0,0,0,1,0,0,0,0,0,"[1768, 1815]",0,0,0,0,1,0,0,0,0,0,"[1793, 1814]"
0,0,0,0,0,0,0,1,0,0,"[1946, 2208]",0,0,0,0,0,0,0,1,0,0,"[1948, 2138]"
0,0,0,0,0,1,0,0,0,0,"[2430, 2443]",0,0,0,0,0,1,0,0,0,0,"[2427, 2444]"
0,1,0,0,0,0,0,0,0,0,"[2743, 2756]",0,1,0,0,0,0,0,0,0,0,"[2727, 2756]"
0,0,0,0,0,0,0,1,0,0,"[2323, 2430]",0,0,0,0,0,0,0,1,0,0,"[2323, 2435]"
0,0,0,0,1,0,0,0,0,0,"[2491, 2565]",0,0,0,0,1,0,0,0,0,0,"[2507, 2515]"
0,0,0,0,1,0,0,0,0,0,"[2491, 2565]",0,0,0,0,1,0,0,0,0,0,"[2523, 2531]"
0,0,0,0,1,0,0,0,0,0,"[2491, 2565]",0,0,0,0,1,0,0,0,0,0,"[2553, 2562]"
0,0,0,0,0,0,0,1,0,0,"[2565, 2593]",0,0,0,0,0,0,0,1,0,0,"[2562, 2600]"
0,0,0,0,0,0,0,1,0,0,"[2669, 2743]",0,0,0,0,0,0,0,1,0,0,"[2698, 2747]"
0,0,1,0,0,0,0,0,0,0,"[2872, 2889]",0,0,1,0,0,0,0,0,0,0,"[2873, 2888]"
0,0,1,0,0,0,0,0,0,0,"[2792, 2872]",0,0,1,0,0,0,0,0,0,0,"[2803, 2812]"
0,0,1,0,0,0,0,0,0,0,"[2792, 2872]",0,0,1,0,0,0,0,0,0,0,"[2836, 2864]"
0,0,0,0,0,0,0,1,0,0,"[2889, 3056]",0,0,0,0,0,0,0,1,0,0,"[2892, 2936]"
0,0,0,0,1,0,0,0,0,0,"[3056, 3093]",0,0,0,0,1,0,0,0,0,0,"[3058, 3093]"
0,0,0,0,1,0,0,0,0,0,"[3093, 3260]",0,0,0,0,1,0,0,0,0,0,"[3058, 3093]"
0,1,0,0,0,0,0,0,0,0,"[3323, 3352]",0,1,0,0,0,0,0,0,0,0,"[3333, 3352]"
0,0,0,0,0,0,0,1,0,0,"[3352, 3729]",0,0,0,0,0,0,0,1,0,0,"[3591, 3658]"
0,0,0,0,0,0,0,1,0,0,"[3352, 3729]",0,0,0,0,0,0,0,1,0,0,"[3677, 3729]"
0,0,0,0,1,0,0,0,0,0,"[3813, 3846]",0,0,0,0,1,0,0,0,0,0,"[3815, 3843]"
0,1,0,0,0,0,0,0,0,0,"[4199, 4258]",0,1,0,0,0,0,0,0,0,0,"[4199, 4241]"
0,1,0,0,0,0,0,0,0,0,"[4342, 4365]",0,1,0,0,0,0,0,0,0,0,"[4344, 4364]"
0,1,0,0,0,0,0,0,0,0,"[4409, 4438]",0,1,0,0,0,0,0,0,0,0,"[4421, 4427]"
0,0,0,0,0,1,0,0,0,0,"[4449, 4472]",0,0,0,0,0,1,0,0,0,0,"[4449, 4458]"
0,1,0,0,0,0,0,0,0,0,"[4528, 4576]",0,1,0,0,0,0,0,0,0,0,"[4557, 4576]"
