TF,SR,TR,No Label,TimeStamp,TF,SR,TR,No Label,TimeStamp
1,0,0,0,"[4410, 4470]",1,0,0,0,"[4449, 4470]"
1,0,0,0,"[4526, 4577]",1,0,0,0,"[4531, 4575]"
1,0,0,0,"[2265, 2283]",0,0,1,0,"[2250, 2273]"
0,1,0,0,"[2487, 2516]",0,0,1,0,"[2493, 2516]"
0,1,0,0,"[3404, 3473]",0,0,1,0,"[3404, 3430]"
0,1,0,0,"[4579, 4599]",0,0,1,0,"[4579, 4650]"
0,0,0,1,-1,1,0,0,0,"[982, 992]"
0,0,0,1,-1,0,0,1,0,"[2670, 2699]"
0,0,0,1,-1,1,0,0,0,"[3237, 3253]"
0,0,0,1,-1,1,0,0,0,"[3456, 3477]"
0,0,0,1,-1,0,0,1,0,"[4308, 4342]"
1,0,0,0,"[1301, 1308]",1,0,0,0,"[1304, 1306]"
0,1,0,0,"[1337, 1368]",0,1,0,0,"[1330, 1363]"
1,0,0,0,"[1385, 1391]",1,0,0,0,"[1385, 1401]"
1,0,0,0,"[1492, 1517]",1,0,0,0,"[1487, 1514]"
1,0,0,0,"[1605, 1616]",1,0,0,0,"[1611, 1614]"
1,0,0,0,"[1815, 1846]",1,0,0,0,"[1831, 1836]"
0,0,1,0,"[1873, 1906]",0,0,1,0,"[1864, 1885]"
1,0,0,0,"[1922, 1936]",1,0,0,0,"[1915, 1938]"
1,0,0,0,"[2428, 2457]",1,0,0,0,"[2437, 2445]"
1,0,0,0,"[2599, 2633]",1,0,0,0,"[2598, 2635]"
1,0,0,0,"[2744, 2756]",1,0,0,0,"[2746, 2755]"
1,0,0,0,"[2744, 2756]",1,0,0,0,"[2746, 2755]"
1,0,0,0,"[2873, 2888]",1,0,0,0,"[2873, 2892]"
1,0,0,0,"[3329, 3354]",1,0,0,0,"[3338, 3351]"
1,0,0,0,"[3918, 3949]",1,0,0,0,"[3918, 3936]"
1,0,0,0,"[3918, 3949]",1,0,0,0,"[3941, 3947]"
1,0,0,0,"[3973, 3991]",1,0,0,0,"[3980, 4000]"
1,0,0,0,"[4161, 4181]",1,0,0,0,"[4163, 4170]"
1,0,0,0,"[4199, 4260]",1,0,0,0,"[4209, 4259]"
1,0,0,0,"[4340, 4364]",1,0,0,0,"[4344, 4363]"
1,0,0,0,"[4392, 4410]",1,0,0,0,"[4392, 4431]"
1,0,0,0,"[4410, 4470]",1,0,0,0,"[4392, 4431]"
1,0,0,0,"[4410, 4470]",1,0,0,0,"[4433, 4437]"
1,0,0,0,"[4526, 4577]",1,0,0,0,"[4531, 4575]"
0,1,0,0,"[1642, 1682]",0,0,1,0,"[1649, 1699]"
0,1,0,0,"[1971, 2004]",0,0,1,0,"[1970, 2055]"
0,1,0,0,"[4049, 4105]",0,0,1,0,"[4054, 4162]"
0,1,0,0,"[2663, 2699]",0,0,0,1,-1
0,1,0,0,"[4579, 4602]",0,0,0,1,-1
0,0,0,1,-1,1,0,0,0,"[2306, 2320]"
0,0,0,1,-1,1,0,0,0,"[2778, 2791]"
0,0,0,1,-1,1,0,0,0,"[3237, 3253]"
0,0,0,1,-1,1,0,0,0,"[3456, 3477]"
0,0,0,1,-1,0,0,1,0,"[4503, 4532]"
1,0,0,0,"[1492, 1517]",1,0,0,0,"[1487, 1514]"
1,0,0,0,"[1756, 1767]",1,0,0,0,"[1762, 1767]"
1,0,0,0,"[1891, 1906]",1,0,0,0,"[1894, 1907]"
1,0,0,0,"[2096, 2111]",1,0,0,0,"[2098, 2110]"
0,1,0,0,"[2170, 2199]",0,1,0,0,"[2164, 2199]"
1,0,0,0,"[2489, 2500]",1,0,0,0,"[2492, 2498]"
1,0,0,0,"[2599, 2633]",1,0,0,0,"[2598, 2635]"
1,0,0,0,"[2744, 2756]",1,0,0,0,"[2746, 2755]"
1,0,0,0,"[2744, 2756]",1,0,0,0,"[2746, 2755]"
1,0,0,0,"[2818, 2831]",1,0,0,0,"[2817, 2830]"
1,0,0,0,"[2873, 2888]",1,0,0,0,"[2873, 2892]"
1,0,0,0,"[3329, 3354]",1,0,0,0,"[3338, 3351]"
1,0,0,0,"[3918, 3949]",1,0,0,0,"[3918, 3936]"
1,0,0,0,"[3918, 3949]",1,0,0,0,"[3941, 3947]"
1,0,0,0,"[3973, 3991]",1,0,0,0,"[3980, 4000]"
1,0,0,0,"[4140, 4161]",1,0,0,0,"[4140, 4146]"
1,0,0,0,"[4161, 4181]",1,0,0,0,"[4163, 4170]"
1,0,0,0,"[4161, 4181]",1,0,0,0,"[4172, 4177]"
1,0,0,0,"[4199, 4260]",1,0,0,0,"[4209, 4259]"
1,0,0,0,"[4340, 4364]",1,0,0,0,"[4344, 4363]"
1,0,0,0,"[4392, 4410]",1,0,0,0,"[4392, 4431]"
1,0,0,0,"[4410, 4470]",1,0,0,0,"[4392, 4431]"
1,0,0,0,"[4410, 4470]",1,0,0,0,"[4433, 4437]"
1,0,0,0,"[4410, 4470]",1,0,0,0,"[4449, 4470]"
1,0,0,0,"[4526, 4577]",1,0,0,0,"[4531, 4575]"
0,0,0,1,-1,1,0,0,0,"[2306, 2320]"
0,0,0,1,-1,0,0,1,0,"[2680, 2699]"
0,0,0,1,-1,1,0,0,0,"[3237, 3253]"
0,0,0,1,-1,1,0,0,0,"[3456, 3477]"
